Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
POINT REYES STATION,EYSC1,38.06778,-122.80722,CNRFC
EL ZANJON CK - FIRST AVENUE,EZCC1,37.62273,-122.40671,CNRFC
FAIRFAX - FS 21,FAXC1,37.98583,-122.59111,CNRFC
FLOOD CONTROL HQ,FCCC1,37.9875,-122.08667,CNRFC
LIVERMORE PARK,FCRC1,38.65722,-121.14556,CNRFC
FRENCH CAMP SLOUGH,FCSC1,37.88167,-121.24917,CNRFC
FIVE MILE PUMPHOUSE,FMPC1,38.01389,-121.36916,CNRFC
FARALLON ISLANDS,FNDC1,37.69833,-123.00166,CNRFC
ALAMEDA COUNTY ACWD,FREC1,37.56861,-121.97862,CNRFC
FOLSOM POINT,FSLC1,38.69305,-121.13111,CNRFC
FRANZ VALLEY SCHOOL RD,FVSC1,38.58361,-122.67167,CNRFC
WILLOW CK - SILBERHORN DR,FWCC1,38.6754,-121.11545,CNRFC
FOLSOM WTP,FWPC1,38.68667,-121.14944,CNRFC
FOLSOM WATER TREATMENT,FWTC1,38.68667,-121.15,CNRFC
FAIRFAX CK - SUNNYSIDE,FXSC1,38.00195,-122.61083,CNRFC
ALAMITOS,GDPC1,37.23833,-121.86917,CNRFC
GODLEY LANE,GDYC1,38.95972,-121.19695,CNRFC
GREGORY HILL,GGHC1,38.26778,-122.07056,CNRFC
GLORIA GRADE,GGRC1,36.53167,-121.27722,CNRFC
WALNUT GROVE,GGSC1,38.23722,-121.51806,CNRFC
PEABODY RANCH,GIOC1,37.04556,-121.50944,CNRFC
CASTRO VALLEY,GOYC1,36.95843,-121.60471,CNRFC
GARIN PARK,GRPC1,37.61472,-122.00472,CNRFC
GUADALUPE SLOUGH,GULC1,37.46389,-122.00028,CNRFC
GUADALUPE WATERSHED,GUPC1,37.18667,-121.89083,CNRFC
R28 - GRASS VALLEY ROAD,GVSC1,37.7514,-122.1232,CNRFC
GILROY,GYYC1,37.0717,-121.479,CNRFC
,HAF,37.51333,-122.50111,CNRFC
HINKLE CK - OAK AVE,HCOC1,38.69778,-121.18472,CNRFC
HOPPER CK - YOUNTVILLE,HCRC1,38.40806,-122.37139,CNRFC
SOUTH HONCUT CREEK,HCTC1,39.36833,-121.37167,CNRFC
HIGH GLADE LOOKOUT,HGLC1,39.20889,-122.81,CNRFC
R17 - HIGH STREET,HIHC1,37.7858,-122.1973,CNRFC
SMARTSVILLE,HLEC1,39.23944,-121.26667,CNRFC
SHILOH RANCH REGNL PARK,HLOC1,38.52389,-122.74389,CNRFC
SAINT HELENA 4WSW,HNAC1,38.49306,-122.53972,CNRFC
HIGHLAND PEAK,HNDC1,37.81444,-121.80833,CNRFC
HOWARD MILL / ELK MOUNTAIN,HOMC1,39.30828,-122.9397,CNRFC
HOPLAND,HPDC1,39.03083,-123.08056,CNRFC
HERB MAINTENANCE FACILITY,HRBC1,37.7142,-121.8825,CNRFC
HERALD,HRLC1,38.295,-121.2425,CNRFC
STRONG RANCH - HURLEY WAY,HRYC1,38.58695,-121.40556,CNRFC
HOLLISTER,HSEC1,36.84222,-121.36222,CNRFC
HASKINS RANCH,HSKC1,37.39528,-121.76417,CNRFC
SPRING VALLEY,HSPC1,37.5625,-122.43639,CNRFC
SVCSD WWTP,HTOC1,38.25083,-122.44527,CNRFC
